epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.0715,2.15888,13.8668,1.38342,0.00287,0.27775,0.00185,0.00075,nan,nan,nan,0.000664537,0.000664537,0.000664537
2,142.913,2.53732,2.95303,1.68711,0.34735,0.16926,0.15151,0.06305,2.46458,3.36926,1.74998,0.00126531,0.00126531,0.00126531
